"name_phylogeny","grains","outline","ornamentation"
"Anadenanthera_colubrina","16","circular&elliptical","areolate&rugulate"
"Gwilymia_coriacea","16","elliptical&oval","areolate&fossulate"
"Gwilymia_fissurata","16","oval","areolate"
"Gwilymia_moricolor","16","elliptical&oval","areolate&fossulate"
"Gwilymia_occhioniana","8","elliptical&oval","areolate&fossulate"
"Gwilymia_paniculata","16","oval","areolate"
"Gwilymia_polystachya","8","elliptical&oval","verrucate"
"Gwilymia_racemifera","16","elliptical&oval","areolate"
"Inga_edulis","32","NA","verrucate"
"Lachesiodendron_viridiflorum","8","NA","NA"
"Marlimorimia_bahiana","16","oval","psilate"
"Marlimorimia_contorta","16","oval","psilate"
"Marlimorimia_psilostachya","16","oval","NA"
"Marlimorimia_warmingii","12&16","elliptical&oval","psilate"
"Microlobius_foetidus","8","oval","verrucate-scabrate"
"Mimosa_irrigua","8","NA","areolate&verrucate"
"Mimosa_lepidophora","12","NA","areolate"
"Mimosa_pithecolobioides","12","elliptical","areolate"
"Mimosa_watsonii","12","elliptical","rugulate&verrucate"
"Naiadendron_duckeanum","16","elliptical&oval","psilate&verrucate"
"Parapiptadenia_blanchetii","16","oval","psilate"
"Parapiptadenia_excelsa","12","NA","NA"
"Parapiptadenia_pterosperma","16","circular","rugulate"
"Parapiptadenia_rigida","16","oval","rugulate"
"Parapiptadenia_zehntneri","16","oval","areolate&psilate"
"Piptadenia_adiantoides","8&12","oval","psilate"
"Piptadenia_floribunda","16","elliptical","NA"
"Piptadenia_gonoacantha","12","oval","NA"
"Piptadenia_irwinii","16","NA","psilate"
"Piptadenia_paniculata","16","NA","NA"
"Piptadenia_stipulacea","12","elliptical&oval","areolate"
"Pityrocarpa_brenanii","12&16","NA","NA"
"Pityrocarpa_inaequalis","12","oval","NA"
"Pityrocarpa_leptostachya","16","NA","NA"
"Pityrocarpa_moniliformis","8","elliptical&oval","psilate&verrucate"
"Pityrocarpa_obliqua","8&16","oval","areolate"
"Pityrocarpa_obliqua_brasiliensis","16","NA","areolate"
"Pityrocarpa_schumanniana","16","oval","NA"
"Senegalia_nigrescens","16","NA","NA"
"Stryphnodendron_adstringens","16","elliptical&oval","psilate&verrucate"
"Stryphnodendron_cristalinae","16","elliptical&oval","verrucate"
"Stryphnodendron_gracile","16","elliptical&oval","verrucate"
"Stryphnodendron_polyphyllum","16","elliptical&oval","psilate&verrucate"
"Vachellia_farnesiana","16","NA","NA"
