scientific_name_.check.,source,scientific_name_.original.,name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,grains,outline,ornamentation,shorter_diameter_min,shorter_diameter_max,shorter_diameter_mean,longer_diameter_min,longer_diameter_max,longer_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,voucher,herbarium,herbarium_code
Anadenanthera colubrina,Freitas-Cruz - 2018 / Ribeiro - 2018,Anadenanthera colubrina ,Anadenanthera_colubrina,Anadenanthera,colubrina,NA,Species,16,circular&elliptical,areolate&rugulate,32.5,47.5,39,32.5,47.5,38.8,2,2,2,DM Calmon 221 / LP Queiroz s.n. /  s.col. / Lacerda 262 / Lacerda 268 / Melo 3744,R / R / R / HUEFS / HUEFS / HUEFS,ALCB 75760 (DM Calmon 221) / HUEFS 112288 / HUEFS 112292 / HUEFS 91632
Gwilymia coriacea,Barduzzi et al. / Guinet & Caccavari - 1992,Stryphnodendron coriaceum / Stryphnodendron piptadenioides,Gwilymia_coriacea,Gwilymia,coriacea,NA,Species,16,elliptical&oval,verrucate,30.8,30.8,30.8,34.1,34.1,34.1,1,1,1,"M. A. Silva 1472,  T. S. Filgueiras, J.W.B. Machado, A. L. Brochado / Lima 13302",ESA / RFA,ESA 88712 / RFA 17172
Gwilymia fissurata,Caccavari - 2002 / Guinet & Caccavari - 1992,Stryphnodendron fissuratum,Gwilymia_fissurata,Gwilymia,fissurata,NA,Species,16,oval,NA,40.5,NA,40.5,NA,58.6,63.3,NA,NA,1.8,Eiten et al. 8956 / Eiten & Eiten 8956,SP / SP,SP 129687 / SP 129687
Gwilymia moricolor,Guinet & Caccavari - 1992,Stryphnodendron moricolor ,Gwilymia_moricolor,Gwilymia,moricolor,NA,Species,16,elliptical&oval,areolate&fossulate,44.5,44.5,44.5,57.6,57.6,57.6,1.5,2,1.75,Mori & Boom 15236,CAY,NA
Gwilymia occhioniana,Guinet & Caccavari - 1992,Stryphnodendron occhionianum ,Gwilymia_occhioniana,Gwilymia,occhioniana,NA,Species,8,elliptical&oval,verrucate,31.1,31.1,31.1,47.9,47.9,47.9,1.4,2,1.7,Oliveira 997,RB,NA
Gwilymia paniculata,Guinet & Caccavari - 1992,Stryphnodendron paniculatum / Stryphnodendron rizzinianum ,Gwilymia_paniculata,Gwilymia,paniculata,NA,Species,16,oval,areolate&fossulate,36.2,36.2,NA,44.5,44.5,44.5,1.5,2,1.75,Ducke s.n. (5.07.1936) / Krukoff 6441 / Ducke s.n. (7.11.1935),US / RB / RB,US 1694148 / RB 32083 / RB 29044
Gwilymia polystachya,Guinet & Caccavari - 1992,Stryphnodendron polystachyum ,Gwilymia_polystachya,Gwilymia,polystachya,NA,Species,8,elliptical&oval,verrucate,32,32,34.1,46.6,46.6,46.6,1.4,2,1.7,Irwin et al. 48381 / Irwin et al. 55179,NY / NY,NA
Gwilymia racemifera,Guinet & Caccavari - 1992,Stryphnodendron racemiferum ,Gwilymia_racemifera,Gwilymia,racemifera,NA,Species,16,elliptical&oval,areolate&reticulate,35.4,35.4,34.1,55,55,55,1.5,2,1.75,Prance et al. 3613,K,NA
Inga edulis,Almeida Braga - 2012,Inga edulis ,Inga_edulis,Inga,edulis,NA,Species,32,NA,verrucate,50,50,50,100,100,100,1.7,1.7,1.7,?,RBR,NA
Lachesiodendron viridiflorum,Barduzzi et al.,Lachesiodendron viridiflorum ,Lachesiodendron_viridiflorum,Lachesiodendron,viridiflorum,NA,Species,8,NA,NA,18,32,24.071,26,44,35.739,0.66,1.044,0.852,A. Salino 3306 / Carvalho 3953 / Queiroz 7828 / Salino 3306,ESA / HUEFS / HUEFS / HUEFS,HUEFS 35810 / HUEFS 16194 / HUEFS 72586 / HUEFS 35810
