"name_phylogeny","grains","outline","pollen_arrangement","DU_planes","ornamentation","pore_number"
"Anadenanthera_colubrina","16","circular&elliptical","regular arangement polyad","multiplanar","areolate&rugulate",NA
"Gwilymia_coriaceum","16","elliptical&oval",NA,NA,"verrucate",NA
"Gwilymia_fissuratum","16","oval",NA,NA,NA,NA
"Gwilymia_moricolor","16","elliptical&oval",NA,NA,"areolate&fossulate",NA
"Gwilymia_occhionianum","8","elliptical&oval","irregular arangement polyad",NA,"verrucate",NA
"Gwilymia_paniculatum","16","oval",NA,NA,"areolate&fossulate",NA
"Gwilymia_polystachyum","8","elliptical&oval","irregular arangement polyad",NA,"verrucate",NA
"Gwilymia_racemiferum","16","elliptical&oval",NA,NA,"areolate&reticulate",NA
"Inga_edulis","32",NA,NA,NA,"verrucate",NA
"Lachesiodendron_viridiflorum","8",NA,"tetrahedral",NA,"verrucate",NA
"Marlimorimia_bahiana","16","oval",NA,NA,"psilate",NA
"Marlimorimia_contorta","16","oval",NA,NA,"psilate",NA
"Marlimorimia_psilostachya","16","oval",NA,NA,NA,NA
"Marlimorimia_warmingii","12&16","elliptical&oval","irregular arangement polyad",NA,"psilate","4"
"Microlobius_foetidus","8","oval","tetrahedral","multiplanar","verrucate scabrate",NA
"Mimosa_irrigua","8",NA,NA,"multiplanar","areolate&verrucate",NA
"Mimosa_lepidophora","12",NA,"irregular arangement polyad","multiplanar","areolate",NA
"Mimosa_pithecolobioides","12","elliptical","irregular arangement polyad","multiplanar","areolate",NA
"Mimosa_watsonii","12","elliptical","regular arangement polyad","multiplanar","microverrucate&rugulate","3"
"Naiadendron_duckeanum","16","elliptical&oval",NA,NA,"psilate&verrucate",NA
"Parapiptadenia_blanchetii","16","oval",NA,NA,"psilate",NA
"Parapiptadenia_excelsa","12",NA,NA,NA,NA,NA
"Parapiptadenia_pterosperma","16","circular",NA,NA,"rugulate",NA
"Parapiptadenia_rigida","16",NA,NA,NA,NA,NA
"Parapiptadenia_zehntneri","16","oval","regular arangement polyad",NA,"areolate&psilate","4&6"
"Piptadenia_adiantoides","8&12","oval","tetrahedral","multiplanar","psilate",NA
"Piptadenia_floribunda","16","elliptical",NA,NA,NA,NA
"Piptadenia_gonoacantha","12","oval",NA,NA,NA,NA
"Piptadenia_irwinii","16",NA,"regular arangement polyad",NA,"psilate",NA
"Piptadenia_paniculata","16",NA,NA,NA,NA,NA
"Piptadenia_stipulacea","12","elliptical&oval","regular arangement polyad",NA,"areolate","3&4"
"Pityrocarpa_brenanii","12&16",NA,NA,NA,"psilate",NA
"Pityrocarpa_inaequalis","12","oval",NA,NA,NA,NA
"Pityrocarpa_leptostachya","16",NA,NA,NA,NA,NA
"Pityrocarpa_moniliformis","8","elliptical&oval","regular arangement polyad","multiplanar","psilate&verrucate","3&4&5"
"Pityrocarpa_obliqua","8&16","oval",NA,NA,"areolate",NA
"Pityrocarpa_obliqua_brasiliensis","16",NA,NA,NA,"areolate",NA
"Pityrocarpa_schumanniana","16","oval",NA,NA,NA,NA
"Senegalia_nigrescens","16",NA,NA,NA,NA,NA
"Stryphnodendron_adstringens","16","elliptical&oval",NA,NA,"psilate&verrucate",NA
"Stryphnodendron_cristalinae","16","elliptical&oval",NA,NA,"verrucate",NA
"Stryphnodendron_gracile","16","elliptical&oval",NA,NA,"verrucate",NA
"Stryphnodendron_polyphyllum","16","elliptical&oval",NA,NA,"psilate&verrucate",NA
"Vachellia_farnesiana","16",NA,NA,NA,NA,NA
